"","","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos de cette unité d'enseignement","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","","","","",""
"Les attentes et les objectifs sont clairement définis","La structure du cours sur GitHub est cohérente, facile d'accès et permet de retrouver rapidement les informations que je cherche","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","J'apprécie la durée courte des parties théoriques au début de chaque cours","Les exemples et les exercices sont pertinents et adaptés à mon niveau","L'unité d'enseignement est variée, motivante et permet de ne pas m'ennuyer","Je me sens capable de réaliser un programme Java simple qui interagit avec l'utilisatrice.","J'aurais plaisir à suivre une unité d'enseignement qui reprend la même méthode d'enseignement","J'ai particulièrement apprécié... ","J'ai moins apprécié et je propose... ","Compilation & Exécution","Variables & Constantes","Types","UML","Sélection (if/else)","Itération (while/for/foreach)","Fonctions","Tableaux","Bibliothèques","Autres remarques et commentaires "
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","La théorie était courte et complète. beaucoup de temps mis a disposition durant la période de cours pour pratiquer et faire les exercices. Les exercices bénéficiait de bonnes explications et aides pour faire les variable et savoir quelle type de méthode utilisé.","Certains exercice était plus difficiles et non expliquer dans la théorie au préalable. Il était parfois difficile de savoir quels exercices devaient être révisé pour le test.","","","","","","","X","","",""
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Votre énergie et approche douce, et votre personalité bienveillante malgré la difficulté de la matière.  La liberté que vous nous donnez dans la partie pratique est aussi très agréable, même si elle était un peu trop grande durant les premières semaine.","Les 3 premières semaines ont été un peu plus difficiles puisque moins accompagnée, notamment au niveau de la correction d'exercice en classe, ou du manque d'une démonstration pratique et explicative à chaque étapes.","","X","","","","","X","X","","J'espère qu'on vous aura au semestre prochain! Je sais que toute la classe vous apprécie :)"
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","les exercices","la partie theorique mais ça n'a pas un lien avec la maniere de l'enseignement mais plus un lien avec ma capacité d'attention, je n'arrive pas à me concentrer longtemps durant la partie theorique","","","","","","","X","X","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","la présence, l'écoute et la disponibilité de Mr Vincent","Le manque d'exercices résolu en classe, vu que la plupart étaient individuels ","","","","","","","X","","","peut être plus d'exercice à résoudre en classe tous ensemble durant les cours afin que tout le monde puisse éclaircir des zones d'ombres."
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","le fait de nous laisser en autonomie pour faire les exercices à notre rythme, liberté d'avancer","les exercices sont montés en difficulté assez rapidement et il est assez difficile de se mettre dans le rythme, peut-être montrer un exemple avec un challenge concret à réaliser ?","","","","","","","","X","X","plaisir de venir en cours ;)"
"Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","J’apprécie vraiment l’énergie positive que vous apportez en classe chaque cours devient plus motivant et agréable. Vos exercices de programmation sont extrêmement utiles pour améliorer nos compétences et bien nous préparer à l’examen. Le test de préparation que vous nous avez donné était également une excellente façon de nous entraîner et de comprendre à quoi nous attendre. Merci pour tous les efforts que vous faites pour nous aider à réussir !","Concernant les aspects à améliorer, je pense que vous pourriez présenter les notions avec davantage de confiance, afin d’éviter toute confusion ou doute parmi les étudiants. Les exemples utilisés en classe me semblaient parfois peu pertinents ou difficiles à relier à nos propres expériences.
Nous avons aussi abordé certains sujets complexes assez rapidement, ce qui n’a pas toujours permis à tout le monde de comprendre pleinement ce qu’il faisait. Étant donné qu’il s’agit d’un cours d’introduction à la programmation, il serait bénéfique de montrer davantage le processus algorithmique, c’est-à-dire comment commencer un code, quelles étapes suivre et pourquoi. Souvent, les solutions étaient simplement collées puis expliquées, sans détailler le raisonnement qui mène à chaque étape.

Pour le premier examen, certaines questions à choix multiple étaient un peu confuses, voire trop simples. Globalement, le cours donnait parfois l’impression d’être très autodidacte, avec une théorie assez courte et parfois trop “générée par IA”. Je pense qu’il serait utile d’approfondir davantage chaque sujet, de pratiquer les exercices ensemble en classe et, à la fin de chaque activité, de montrer pas à pas la manière correcte de résoudre les exercices.","","","","X","","","X","X","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Les explications simples et bien structurées pour qu'on comprenne la matière de a à z","Un peu plus de contenu collaboratif pendant les parties théoriques pour garder l'attention des élèves ","","","","","","","","","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","L'autonomie qu'on avait durant le court.
La courte partie théorique.
Les ressources sont plutôt claire.","Un appuie sur la phase théorique qui pourrait mieux exprimer les concepts en les mettant en contexte et les imager avec des exemples car actuellement, le cours donne plus l'impression de suivre un cours en ligne ou un tutoriel. Cela me donne l'impression d'apprendre un langage sans but car je ne sais pas pourquoi concrètement je l'apprend.
Une partie mise en commun à la fin des exercice peut être intéressante afin de solidifie les acquis directement dans le cours.","","","","","","","X","X","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","J'ai apprécié l'ensemble du cours","Rien","","","","","","","X","X","X",""
"Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","","","","","","","","","","","",""
